"","X","AGLOMERADO","nombre_aglomerado","lon","lat","REGION","NOMBRE","GRADO_HACINAMIENTO","cantidad_hogares","per_hog_hac"
"55",28,34,"Mar del Plata - Batán",-57.5964505909473,-38.004253155701,"Pampeana","Mar del Plata - Batan","+3 personas por dormitorio",4839,1.90136030365184
"56",29,36,"Rio Cuarto",-64.3202598811874,-33.1000276672272,"Pampeana","Rio Cuarto","-2.9 personas por dormitorio",67438,96.7144229803955
"57",29,36,"Rio Cuarto",-64.3202598811874,-33.1000276672272,"Pampeana","Rio Cuarto","+3 personas por dormitorio",2291,3.28557701960447
"58",29,36,"Rio Cuarto",-64.3202598811874,-33.1000276672272,"Patagonica.","Rio Gallegos","-2.9 personas por dormitorio",36839,95.8176190600047
"59",29,36,"Rio Cuarto",-64.3202598811874,-33.1000276672272,"Patagonica.","Rio Gallegos","+3 personas por dormitorio",1608,4.18238093999532
"60",30,38,"San Nicolas - Villa Constitiución",-60.2763374362068,-33.3194989288777,"Pampeana","San Nicolas - Villa Constitucion","-2.9 personas por dormitorio",64232,96.8837672327974
"61",30,38,"San Nicolas - Villa Constitiución",-60.2763374362068,-33.3194989288777,"Pampeana","San Nicolas - Villa Constitucion","+3 personas por dormitorio",2066,3.11623276720263
"62",31,91,"Rawson - Trelew",-65.2391829798578,-43.2430348309783,"Patagonica.","Rawson - Trelew","-2.9 personas por dormitorio",48395,97.0228548516439
"63",31,91,"Rawson - Trelew",-65.2391829798578,-43.2430348309783,"Patagonica.","Rawson - Trelew","+3 personas por dormitorio",1485,2.97714514835605
"64",32,93,"Viedma - Carmen de Patagones",-62.9883597340043,-40.8042518843041,"Patagonica.","Viedma - Carmen de Patagones.","-2.9 personas por dormitorio",29577,93.3234468179093
"65",32,93,"Viedma - Carmen de Patagones",-62.9883597340043,-40.8042518843041,"Patagonica.","Viedma - Carmen de Patagones.","+3 personas por dormitorio",2116,6.67655318209068
